CODA Motion Analysis Text

Time	Markers																															
Time	Marker 01.X	Marker 01.Y	Marker 01.Z	1.V	Marker 02.X	Marker 02.Y	Marker 02.Z	2.V	Marker 03.X	Marker 03.Y	Marker 03.Z	3.V	Marker 04.X	Marker 04.Y	Marker 04.Z	4.V	Marker 05.X	Marker 05.Y	Marker 05.Z	5.V	Marker 06.X	Marker 06.Y	Marker 06.Z	6.V	Marker 07.X	Marker 07.Y	Marker 07.Z	7.V	Marker 08.X	Marker 08.Y	Marker 08.Z	8.V
(s)	(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)	
0.000	-8.797	-666.881	0.189	1	0.067	0.025	-0.107	1	1039.185	0.343	0.061	1	0.000	0.000	0.000	0	200.667	-834.676	253.744	1	209.425	-840.909	269.646	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.005	-8.735	-666.958	0.201	1	0.023	0.043	-0.188	1	1039.252	-0.072	-0.064	1	0.000	0.000	0.000	0	201.016	-835.339	254.013	1	209.228	-842.199	269.984	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.010	-8.868	-667.506	0.201	1	0.138	0.415	-0.169	1	1039.163	0.071	0.018	1	0.000	0.000	0.000	0	200.907	-832.605	253.576	1	209.066	-841.248	269.912	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.015	-8.797	-667.672	0.268	1	0.005	-0.312	-0.259	1	1039.243	-0.136	0.043	1	0.000	0.000	0.000	0	200.839	-833.279	253.965	1	209.445	-841.337	270.112	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.020	-8.799	-667.621	0.181	1	0.090	-0.026	-0.118	1	1039.159	0.221	-0.002	1	0.000	0.000	0.000	0	200.634	-834.401	253.918	1	209.173	-841.190	269.890	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.025	-8.723	-666.933	0.222	1	0.033	-0.112	-0.030	1	1039.238	0.041	0.012	1	0.000	0.000	0.000	0	200.490	-834.409	253.764	1	209.150	-842.538	269.690	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.030	-8.845	-667.295	0.165	1	0.101	0.196	-0.052	1	1039.251	0.033	-0.028	1	0.000	0.000	0.000	0	200.890	-832.649	253.569	1	209.093	-843.303	269.929	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.035	-8.815	-667.498	0.145	1	0.054	-0.010	-0.145	1	1039.337	-0.443	-0.083	1	0.000	0.000	0.000	0	200.854	-832.610	254.006	1	209.220	-843.265	269.969	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.040	-8.760	-666.960	0.273	1	0.152	0.239	-0.087	1	1039.180	0.035	0.029	1	0.000	0.000	0.000	0	200.840	-832.390	253.613	1	209.355	-840.518	269.630	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.045	-8.913	-667.806	0.165	1	0.172	0.531	-0.204	1	1039.191	0.286	0.048	1	0.000	0.000	0.000	0	200.632	-832.387	253.485	1	209.420	-840.162	269.582	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.050	-8.875	-667.648	0.143	1	0.057	0.496	-0.122	1	1039.132	0.371	0.059	1	0.000	0.000	0.000	0	200.604	-834.290	253.975	1	209.202	-842.164	269.906	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.055	-8.929	-667.845	0.226	1	0.037	0.023	-0.155	1	1039.144	0.492	0.046	1	0.000	0.000	0.000	0	200.770	-833.280	253.800	1	209.078	-843.039	269.905	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.060	-8.800	-667.466	0.187	1	0.064	-0.241	-0.194	1	1039.221	0.051	-0.051	1	0.000	0.000	0.000	0	200.626	-835.572	254.066	1	209.115	-842.032	269.836	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.065	-8.780	-666.979	0.288	1	-0.010	-0.335	-0.105	1	1039.253	-0.164	0.031	1	0.000	0.000	0.000	0	200.626	-831.283	253.704	1	209.061	-842.488	270.221	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.070	-8.823	-667.606	0.182	1	-0.016	-0.371	-0.073	1	1039.198	-0.393	-0.060	1	0.000	0.000	0.000	0	200.817	-834.961	253.579	1	209.065	-842.492	270.107	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
