CODA Motion Analysis Text

Time	Markers																															
Time	Marker 01.X	Marker 01.Y	Marker 01.Z	1.V	Marker 02.X	Marker 02.Y	Marker 02.Z	2.V	Marker 03.X	Marker 03.Y	Marker 03.Z	3.V	Marker 04.X	Marker 04.Y	Marker 04.Z	4.V	Marker 05.X	Marker 05.Y	Marker 05.Z	5.V	Marker 06.X	Marker 06.Y	Marker 06.Z	6.V	Marker 07.X	Marker 07.Y	Marker 07.Z	7.V	Marker 08.X	Marker 08.Y	Marker 08.Z	8.V
(s)	(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)	
0.000	-15.288	-679.738	4.348	1	0.064	-0.241	1.764	1	1041.436	0.153	0.207	1	0.000	0.000	0.000	0	273.789	-781.533	380.180	1	296.403	-774.297	377.417	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.005	-15.200	-679.667	4.306	1	-0.157	0.372	0.630	1	1041.201	0.256	0.355	1	0.000	0.000	0.000	0	273.339	-781.498	379.877	1	296.419	-774.341	377.395	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.010	-15.101	-679.624	4.856	1	-0.196	0.535	-0.454	1	1041.370	0.605	-1.049	1	0.000	0.000	0.000	0	273.326	-781.392	379.583	1	296.230	-774.199	376.739	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.015	-15.299	-679.519	4.258	1	0.149	-0.346	1.800	1	1041.438	0.261	-0.345	1	0.000	0.000	0.000	0	273.690	-781.690	382.717	1	296.354	-774.248	377.089	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.020	-14.911	-679.686	5.275	1	-0.045	0.105	0.724	1	1041.271	0.211	-0.573	1	0.000	0.000	0.000	0	273.713	-781.470	382.001	1	296.329	-774.191	377.252	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.025	-15.077	-679.672	4.347	1	-0.141	0.429	-0.043	1	1041.383	0.436	-0.429	1	0.000	0.000	0.000	0	273.560	-781.410	380.631	1	296.253	-774.144	377.269	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.030	-14.962	-679.629	4.987	1	-0.106	0.208	0.331	1	1041.147	0.063	0.674	1	0.000	0.000	0.000	0	273.561	-781.150	379.879	1	296.307	-773.905	376.677	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.035	-15.091	-679.715	4.615	1	-0.212	0.586	-0.453	1	1041.420	0.245	-0.724	1	0.000	0.000	0.000	0	273.401	-781.050	380.687	1	296.459	-773.841	376.750	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.040	-15.220	-679.624	4.391	1	-0.242	0.361	0.301	1	1041.461	0.448	-0.709	1	0.000	0.000	0.000	0	273.774	-780.771	380.442	1	296.261	-773.425	375.763	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.045	-15.014	-679.784	5.198	1	-0.158	0.396	0.181	1	1041.317	0.288	0.307	1	0.000	0.000	0.000	0	273.515	-780.766	379.787	1	296.406	-773.387	376.806	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.050	-15.027	-679.741	5.482	1	-0.134	0.136	0.595	1	1041.511	0.234	-0.536	1	0.000	0.000	0.000	0	273.794	-780.837	380.435	1	296.399	-773.294	375.714	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.055	-14.900	-679.763	6.121	1	-0.167	0.523	-0.893	1	1041.083	-0.013	0.870	1	0.000	0.000	0.000	0	273.585	-780.422	379.758	1	296.379	-773.321	376.251	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.060	-15.015	-679.698	4.862	1	-0.188	0.485	0.093	1	1041.318	-0.147	0.878	1	0.000	0.000	0.000	0	273.416	-780.547	378.027	1	296.355	-773.284	375.604	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.065	-15.349	-679.484	3.231	1	-0.025	0.034	0.713	1	1041.227	-0.141	0.700	1	0.000	0.000	0.000	0	273.656	-780.957	381.597	1	296.183	-773.407	376.099	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.070	-15.307	-679.637	4.110	1	-0.010	0.128	0.610	1	1041.460	0.246	-0.096	1	0.000	0.000	0.000	0	273.298	-780.803	378.746	1	296.083	-773.451	376.145	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.075	-14.730	-679.976	7.198	1	-0.114	0.176	0.238	1	1041.194	-0.129	0.774	1	0.000	0.000	0.000	0	273.175	-781.309	381.239	1	295.921	-773.334	376.452	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.080	-15.024	-679.705	5.324	1	-0.014	0.382	0.176	1	1041.748	1.084	-2.418	1	0.000	0.000	0.000	0	273.197	-780.710	380.097	1	295.788	-773.386	376.629	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.085	-15.267	-679.560	4.170	1	-0.082	0.277	0.320	1	1041.402	0.556	-0.704	1	0.000	0.000	0.000	0	272.981	-780.918	380.311	1	295.632	-773.303	375.954	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.090	-15.213	-679.444	3.803	1	-0.071	0.091	0.752	1	1041.339	0.166	0.330	1	0.000	0.000	0.000	0	272.654	-780.522	379.879	1	295.550	-773.229	376.281	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.095	-14.736	-679.966	6.480	1	-0.150	0.015	0.847	1	1041.174	-0.278	0.807	1	0.000	0.000	0.000	0	273.021	-780.321	381.906	1	295.497	-773.186	376.415	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.100	-15.292	-679.509	3.611	1	-0.130	0.011	0.953	1	1041.458	0.159	0.023	1	0.000	0.000	0.000	0	272.776	-780.542	379.362	1	295.394	-773.125	375.752	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.105	-15.062	-679.818	5.228	1	-0.075	0.435	0.083	1	1041.401	0.430	-0.097	1	0.000	0.000	0.000	0	272.661	-780.731	382.078	1	295.186	-772.992	375.967	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.110	-15.157	-679.547	4.313	1	-0.200	0.443	0.278	1	1041.380	0.499	-0.455	1	0.000	0.000	0.000	0	272.644	-780.509	380.710	1	295.199	-773.036	376.515	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.115	-15.040	-679.829	5.596	1	-0.144	0.078	0.519	1	1041.265	0.410	-0.005	1	0.000	0.000	0.000	0	272.235	-780.354	378.098	1	295.255	-773.123	376.595	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.120	-14.932	-679.642	5.168	1	-0.261	0.323	0.403	1	1041.509	0.429	-0.367	1	0.000	0.000	0.000	0	272.190	-780.136	378.860	1	295.050	-773.082	376.117	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.125	-14.884	-679.773	5.290	1	-0.206	0.344	0.021	1	1041.443	0.604	-0.942	1	0.000	0.000	0.000	0	272.290	-780.540	379.393	1	295.090	-772.992	375.038	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.130	-15.035	-679.731	5.023	1	-0.066	0.013	0.578	1	1041.386	0.317	0.256	1	0.000	0.000	0.000	0	272.588	-780.279	379.997	1	295.078	-772.973	375.975	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.135	-15.060	-679.717	4.899	1	-0.304	0.382	-0.608	1	1041.431	0.549	-1.268	1	0.000	0.000	0.000	0	272.574	-780.120	378.970	1	295.193	-773.153	376.593	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
0.140	-15.020	-679.597	5.221	1	0.062	-0.007	1.057	1	1040.953	-0.336	1.447	1	0.000	0.000	0.000	0	272.397	-780.565	379.355	1	295.082	-773.119	376.615	1	0.000	0.000	0.000	0	0.000	0.000	0.000	0
