CODA Motion Analysis Text

Time	Markers																											
Time	Marker 09.X	Marker 09.Y	Marker 09.Z	9.V	Marker 10.X	Marker 10.Y	Marker 10.Z	10.V	Marker 11.X	Marker 11.Y	Marker 11.Z	11.V	Marker 12.X	Marker 12.Y	Marker 12.Z	12.V	Marker 13.X	Marker 13.Y	Marker 13.Z	13.V	Marker 14.X	Marker 14.Y	Marker 14.Z	14.V	Marker 15.X	Marker 15.Y	Marker 15.Z	15.V
(s)	(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)	
0.001	-18.711	-678.987	0.656	1	0.085	0.103	0.354	1	1041.182	0.498	-1.005	1	0.000	0.000	0.000	0	315.095	-703.885	298.743	1	323.391	-701.907	290.679	1	0.000	0.000	0.000	0
0.006	-18.670	-678.952	0.525	1	0.227	-0.120	-0.208	1	1041.269	0.565	-0.891	1	0.000	0.000	0.000	0	315.069	-703.829	298.770	1	323.338	-701.993	290.768	1	0.000	0.000	0.000	0
0.011	-18.871	-678.821	-1.277	1	0.186	-0.153	0.121	1	1041.173	0.330	0.006	1	0.000	0.000	0.000	0	315.115	-703.976	298.775	1	323.422	-701.959	291.091	1	0.000	0.000	0.000	0
0.016	-18.856	-678.981	-0.541	1	-0.047	0.483	-0.787	1	1041.281	0.465	-0.662	1	0.000	0.000	0.000	0	315.146	-703.944	298.800	1	323.207	-701.808	289.975	1	0.000	0.000	0.000	0
0.021	-18.936	-678.838	-0.795	1	0.257	-0.395	0.942	1	1041.350	-0.070	-0.049	1	0.000	0.000	0.000	0	315.034	-703.941	298.872	1	323.288	-701.701	290.166	1	0.000	0.000	0.000	0
0.026	-18.976	-678.842	-1.061	1	0.022	0.281	-0.615	1	1041.226	1.018	-1.800	1	0.000	0.000	0.000	0	315.084	-703.909	298.936	1	323.461	-702.065	291.704	1	0.000	0.000	0.000	0
0.031	-18.841	-678.963	0.136	1	0.068	0.060	-0.005	1	1041.251	1.018	-1.393	1	0.000	0.000	0.000	0	315.173	-703.960	298.988	1	323.322	-701.847	289.784	1	0.000	0.000	0.000	0
0.036	-18.789	-678.835	-0.580	1	-0.267	0.684	-2.009	1	1041.129	0.203	-0.243	1	0.000	0.000	0.000	0	315.140	-703.924	298.972	1	323.206	-701.924	290.104	1	0.000	0.000	0.000	0
0.041	-18.939	-678.878	-0.971	1	0.087	-0.080	0.445	1	1040.715	-0.800	2.555	1	0.000	0.000	0.000	0	315.165	-703.893	298.951	1	323.540	-701.844	291.059	1	0.000	0.000	0.000	0
