'subject','angle','number','memorization_task','success',markersx,markersy
S1,0,2,False,NaN,Marker5_X,Marker5_Y
S1,0,3,True,False,Marker5_X,Marker5_Y
S1,0,4,False,NaN,Marker5_X,Marker5_Y
S1,0,5,True,True,Marker5_X,Marker5_Y
S1,0,6,False,NaN,Marker5_X,Marker5_Y
S1,0,7,True,True,Marker5_X,Marker5_Y
S1,0,8,False,NaN,Marker6_X,Marker6_Y
S1,0,9,True,True,Marker6_X,Marker6_Y
S1,0,10,False,NaN,Marker6_X,Marker6_Y
S1,0,11,True,True,Marker6_X,Marker6_Y
S1bis,90,2,False,NaN,Marker6_X,Marker6_Y
S1bis,90,3,True,False,Marker6_X,Marker6_Y
S1bis,90,4,False,NaN,Marker6_X,Marker6_Y
S1bis,90,5,True,True,Marker6_X,Marker6_Y
S1bis,90,6,False,NaN,Marker6_X,Marker6_Y
S1bis,90,7,True,True,Marker6_X,Marker6_Y
S1bis,90,8,False,NaN,Marker6_X,Marker6_Y
S1bis,90,9,True,True,Marker6_X,Marker6_Y
S1bis,90,10,False,NaN,Marker6_X,Marker6_Y
S1bis,90,11,True,False,Marker6_X,Marker6_Y
S1bis,180,12,False,NaN,Marker6_X,Marker6_Y
S1bis,180,13,True,True,Marker6_X,Marker6_Y
S1bis,180,14,False,NaN,Marker6_X,Marker6_Y
S1bis,180,15,True,False,Marker6_X,Marker6_Y
S1bis,180,16,False,NaN,Marker6_X,Marker6_Y
S1bis,180,17,True,False,Marker6_X,Marker6_Y
S1bis,180,18,False,NaN,Marker6_X,Marker6_Y
S1bis,180,19,True,True,Marker6_X,Marker6_Y
S1bis,180,20,False,NaN,Marker6_X,Marker6_Y
S1bis,180,21,True,True,Marker6_X,Marker6_Y
S2,0,1,False,NaN,Marker5_X,Marker5_Y
S2,0,2,True,True,Marker5_X,Marker5_Y
S2,0,3,False,NaN,Marker5_X,Marker5_Y
S2,0,4,True,True,Marker5_X,Marker5_Y
S2,0,5,False,NaN,Marker5_X,Marker5_Y
S2,0,6,True,True,Marker5_X,Marker5_Y
S2,0,7,False,NaN,Marker5_X,Marker5_Y
S2,0,8,True,True,Marker5_X,Marker5_Y
S2,0,9,False,NaN,Marker5_X,Marker5_Y
S2,0,10,True,False,Marker5_X,Marker5_Y
S2,90,11,False,NaN,Marker6_X,Marker6_Y
S2,90,12,True,True,Marker5_X,Marker5_Y
